#   epsilon1 = 6.2,    epsilon2 = 9.1  me=0.35
#
#  z (a.u.)            E (a.u.)             alfa1             alfa2               alfac
40.0      -1.2946949431990517E-003    0.07887683507663    0.01703672953659   0.01656228452423
45.0      -1.5194581444946307E-003    0.06692788202761    0.01952697644467   0.01380227600230
50.0      -1.6727695811536100E-003    0.05876149445348    0.02041646229580   0.01181934731958
55.0      -1.7765789849629617E-003    0.04786001935978    0.02366519834217   0.00940577596788
60.0      -1.8444774088476304E-003    0.03817986668378    0.02588687612366   0.00726962994277
70.0      -1.9226433937499900E-003    0.02525223306275    0.02913550425891   0.00370755035217
80.0      -1.9854963919362970E-003    0.01658731649651    0.03178601982798   0.00227811186756
90.0      -2.0225159923591639E-003    0.01373574234819    0.03130025680853   0.00168100134803
100.0     -2.0398860781629152E-003    0.00990861946684    0.03192029779554   0.00085191860999
150.0     -2.0704168203756579E-003    0.00873335432875    0.03409263903296   0.00120896656899
200.0     -2.0809495531506216E-003    0.00831666937438    0.03527412197337   0.00136671136526
250.0     -2.0865588377108010E-003    0.00869117236960    0.03580147091175   0.00154635332888
300.0     -2.0904047720217145E-003    0.00784773538144    0.03637893200007   0.00150297285523
        
  


# asymptotic energy -0.00211327 a.u.
