#   epsilon1 = 6.2,    epsilon2 = 9.1  me=0.35
#
#  z (a.u.)            E (a.u.)             alfa1             alfa2               alfac
100.0     -2.6606476123396384E-005   0.04644009905963   0.01302004417974   0.01040335889659
125.0     -2.2342750125132948E-004   0.03643821422185   0.01301903913436   0.00808933783942
150.0     -3.1474348538970925E-004   0.02919318953825   0.01300001583073   0.00631579842445 
175.0     -3.6157957489549200E-004   0.02371022303111   0.01300178675254   0.00495843906626
200.0     -3.8435650366700185E-004   0.01664454197364   0.01479942101418   0.00333339437805
250.0     -4.0908345922886671E-004   0.00886873850213   0.01608547330208   0.00150395839964
300.0     -4.2108362476575881E-004   0.00460969792584   0.01677080045426   0.00063323962640
        

# asymptotic energy -0.000528318 a.u.
